"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Female"	"F"	2303	10193768	22.6
	"Alabama"	"01"	"Male"	"M"	2418	9558697	25.3
"Total"	"Alabama"	"01"			4721	19752465	23.9
	"Alaska"	"02"	"Female"	"F"	137	1401082	9.8
	"Alaska"	"02"	"Male"	"M"	120	1531732	7.8
"Total"	"Alaska"	"02"			257	2932814	8.8
	"Arizona"	"04"	"Female"	"F"	2084	14645804	14.2
	"Arizona"	"04"	"Male"	"M"	2465	14502276	17.0
"Total"	"Arizona"	"04"			4549	29148080	15.6
	"Arkansas"	"05"	"Female"	"F"	1335	6146249	21.7
	"Arkansas"	"05"	"Male"	"M"	1350	5941793	22.7
"Total"	"Arkansas"	"05"			2685	12088042	22.2
	"California"	"06"	"Female"	"F"	12153	79172072	15.4
	"California"	"06"	"Male"	"M"	13065	78503110	16.6
"Total"	"California"	"06"			25218	157675182	16.0
	"Colorado"	"08"	"Female"	"F"	1003	11434335	8.8
	"Colorado"	"08"	"Male"	"M"	988	11639753	8.5
"Total"	"Colorado"	"08"			1991	23074088	8.6
	"Connecticut"	"09"	"Female"	"F"	1259	7313236	17.2
	"Connecticut"	"09"	"Male"	"M"	1177	6987319	16.8
"Total"	"Connecticut"	"09"			2436	14300555	17.0
	"Delaware"	"10"	"Female"	"F"	331	2028332	16.3
	"Delaware"	"10"	"Male"	"M"	299	1902796	15.7
"Total"	"Delaware"	"10"			630	3931128	16.0
	"District of Columbia"	"11"	"Female"	"F"	178	1466216	12.1
	"District of Columbia"	"11"	"Male"	"M"	181	1324854	13.7
"Total"	"District of Columbia"	"11"			359	2791070	12.9
	"Florida"	"12"	"Female"	"F"	6236	44052132	14.2
	"Florida"	"12"	"Male"	"M"	6530	42239370	15.5
"Total"	"Florida"	"12"			12766	86291502	14.8
	"Georgia"	"13"	"Female"	"F"	3076	21899331	14.0
	"Georgia"	"13"	"Male"	"M"	3076	20747150	14.8
"Total"	"Georgia"	"13"			6152	42646481	14.4
	"Hawaii"	"15"	"Female"	"F"	718	2836181	25.3
	"Hawaii"	"15"	"Male"	"M"	759	2848741	26.6
"Total"	"Hawaii"	"15"			1477	5684922	26.0
	"Idaho"	"16"	"Female"	"F"	459	3619364	12.7
	"Idaho"	"16"	"Male"	"M"	427	3649745	11.7
"Total"	"Idaho"	"16"			886	7269109	12.2
	"Illinois"	"17"	"Female"	"F"	4805	25734053	18.7
	"Illinois"	"17"	"Male"	"M"	4637	24937847	18.6
"Total"	"Illinois"	"17"			9442	50671900	18.6
