"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	6193	4887871	126.7
	"Alabama"	"01"	"2019"	"2019"	5815	4903185	118.6
	"Alabama"	"01"	"2020"	"2020"	5824	4921532	118.3
	"Alabama"	"01"	"2021 "	"2021"	5650	5039877	112.1
"Total"	"Alabama"	"01"			23482	19752465	118.9
	"Alaska"	"02"	"2018"	"2018"	379	737438	51.4
	"Alaska"	"02"	"2019"	"2019"	342	731545	46.8
	"Alaska"	"02"	"2020"	"2020"	341	731158	46.6
	"Alaska"	"02"	"2021 "	"2021"	377	732673	51.5
"Total"	"Alaska"	"02"			1439	2932814	49.1
	"Arizona"	"04"	"2018"	"2018"	6116	7171646	85.3
	"Arizona"	"04"	"2019"	"2019"	5771	7278717	79.3
	"Arizona"	"04"	"2020"	"2020"	6107	7421401	82.3
	"Arizona"	"04"	"2021 "	"2021"	5744	7276316	78.9
"Total"	"Arizona"	"04"			23738	29148080	81.4
	"Arkansas"	"05"	"2018"	"2018"	3630	3013825	120.4
	"Arkansas"	"05"	"2019"	"2019"	3584	3017804	118.8
	"Arkansas"	"05"	"2020"	"2020"	3726	3030522	122.9
	"Arkansas"	"05"	"2021 "	"2021"	3532	3025891	116.7
"Total"	"Arkansas"	"05"			14472	12088042	119.7
	"California"	"06"	"2018"	"2018"	25158	39557045	63.6
	"California"	"06"	"2019"	"2019"	23436	39512223	59.3
	"California"	"06"	"2020"	"2020"	23440	39368078	59.5
	"California"	"06"	"2021 "	"2021"	20856	39237836	53.2
"Total"	"California"	"06"			92890	157675182	58.9
	"Colorado"	"08"	"2018"	"2018"	4082	5695564	71.7
	"Colorado"	"08"	"2019"	"2019"	3875	5758736	67.3
	"Colorado"	"08"	"2020"	"2020"	3855	5807719	66.4
	"Colorado"	"08"	"2021 "	"2021"	3613	5812069	62.2
"Total"	"Colorado"	"08"			15425	23074088	66.8
	"Connecticut"	"09"	"2018"	"2018"	3053	3572665	85.5
	"Connecticut"	"09"	"2019"	"2019"	2851	3565287	80.0
	"Connecticut"	"09"	"2020"	"2020"	2675	3557006	75.2
	"Connecticut"	"09"	"2021 "	"2021"	2481	3605597	68.8
"Total"	"Connecticut"	"09"			11060	14300555	77.3
	"Delaware"	"10"	"2018"	"2018"	933	967171	96.5
	"Delaware"	"10"	"2019"	"2019"	825	973764	84.7
	"Delaware"	"10"	"2020"	"2020"	835	986809	84.6
	"Delaware"	"10"	"2021 "	"2021"	847	1003384	84.4
"Total"	"Delaware"	"10"			3440	3931128	87.5
	"District of Columbia"	"11"	"2018"	"2018"	316	702455	45.0
	"District of Columbia"	"11"	"2019"	"2019"	297	705749	42.1
	"District of Columbia"	"11"	"2020"	"2020"	323	712816	45.3
	"District of Columbia"	"11"	"2021 "	"2021"	263	670050	39.3
"Total"	"District of Columbia"	"11"			1199	2791070	43.0
	"Florida"	"12"	"2018"	"2018"	19369	21299325	90.9
	"Florida"	"12"	"2019"	"2019"	18783	21477737	87.5
	"Florida"	"12"	"2020"	"2020"	18788	21733312	86.4
	"Florida"	"12"	"2021 "	"2021"	17968	21781128	82.5
"Total"	"Florida"	"12"			74908	86291502	86.8
	"Georgia"	"13"	"2018"	"2018"	9009	10519475	85.6
	"Georgia"	"13"	"2019"	"2019"	8347	10617423	78.6
	"Georgia"	"13"	"2020"	"2020"	9219	10710017	86.1
	"Georgia"	"13"	"2021 "	"2021"	8762	10799566	81.1
"Total"	"Georgia"	"13"			35337	42646481	82.9
	"Hawaii"	"15"	"2018"	"2018"	1192	1420491	83.9
	"Hawaii"	"15"	"2019"	"2019"	975	1415872	68.9
	"Hawaii"	"15"	"2020"	"2020"	876	1407006	62.3
	"Hawaii"	"15"	"2021 "	"2021"	874	1441553	60.6
"Total"	"Hawaii"	"15"			3917	5684922	68.9
	"Idaho"	"16"	"2018"	"2018"	1447	1754208	82.5
