"Notes"	"State"	"State Code"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	283	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	436	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	45	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	102	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	188	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	270	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	35	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	73	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2018"	"2018/03"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	101	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2018"	"2018/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	305	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2018"	"2018/03"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	39	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2018"	"2018/03"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	100	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2018"	"2018/04"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	80	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2018"	"2018/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	326	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2018"	"2018/04"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	26	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2018"	"2018/04"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	96	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2018"	"2018/05"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	78	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2018"	"2018/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	329	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2018"	"2018/05"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	30	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2018"	"2018/05"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	70	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2018"	"2018/06"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	64	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2018"	"2018/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	268	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2018"	"2018/06"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2018"	"2018/06"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	73	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2018"	"2018/07"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	82	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2018"	"2018/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	246	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2018"	"2018/07"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2018"	"2018/07"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	79	Not Applicable	Not Applicable	Not Applicable	Not Applicable
