"","GEOID","TRAUMA_2020","TRAUMA_2019","TRAUMA_2018","TRAUMA_2017","TRAUMA_2016","trauma_change"
"1","01",13116,11232,12038,11259,10585,1078
"2","02",3329,3260,NA,NA,NA,NA
"3","04",69162,NA,23938,21792,40497,45224
"4","05",12099,11739,11469,12413,11610,630
"5","06",108332,119485,110480,95732,105242,-2148
"6","08",40976,42209,46293,41317,24783,-5317
"7","09",9682,10158,21254,20716,14831,-11572
"8","10",1388,1422,1202,1237,1069,186
"9","11",3871,3764,3856,3173,2546,15
"10","12",44036,28781,30829,34988,24093,13207
"11","13",25596,NA,NA,NA,NA,NA
"12","15",1120,2542,3044,2567,2309,-1924
"13","16",805,865,863,846,585,-58
"14","17",8298,8886,12353,12469,2411,-4055
"15","18",31334,29311,27140,25841,24724,4194
"16","19",4714,45939,38113,9787,25028,-33399
"17","20",30712,NA,NA,NA,NA,NA
"18","21",35466,36056,33793,31081,30164,1673
"19","22",1907,1600,1934,2429,1520,-27
"20","23",NA,NA,NA,5275,NA,NA
"21","24",NA,41022,38031,34607,30946,NA
"22","25",1138,1467,1593,2877,2266,-455
"23","26",40535,43451,35541,23546,NA,4994
"24","27",107500,99344,101004,75755,72479,6496
"25","28",14273,11473,10823,8007,8322,3450
"26","29",6638,7087,6157,5631,4517,481
"27","30",14170,14438,15953,11729,7738,-1783
"28","31",4265,4063,4381,4070,3882,-116
"29","32",1930,2029,1931,2021,1823,-1
"30","33",NA,NA,NA,NA,NA,NA
"31","34",61405,61655,60233,55169,4081,1172
"32","35",43583,48106,31909,44352,37557,11674
"33","36",14035,13272,12490,11625,11587,1545
"34","37",24649,24196,21506,25579,18906,3143
"35","38",2547,1918,940,1099,1491,1607
"36","39",107550,142476,103492,98584,77725,4058
"37","40",20896,19507,18458,15257,13892,2438
"38","41",54561,58645,51852,48971,48867,2709
"39","42",96097,94912,85878,79219,65822,10219
"40","44",5568,5305,3958,6526,6011,1610
"41","45",25244,22828,18177,15406,14128,7067
"42","46",4121,4083,3943,3557,3831,178
"43","47",13862,13998,12150,9830,11552,1712
"44","48",59384,55047,47668,40638,35389,11716
"45","49",10875,10340,10092,10017,9543,783
"46","50",9847,9826,9585,8604,7888,262
"47","51",31906,30360,27840,24121,21886,4066
"48","53",60843,43787,29270,23690,20250,31573
"49","54",NA,NA,6019,NA,NA,NA
"50","55",7857,7811,7817,7444,9750,40
"51","56",3863,4024,3889,4173,4495,-26
"52","72",88,160,152,130,7,-64
"53","99",48,35,8,21,11,40
