state,population,state_code
.Alabama,5031362,1
.Alaska,732923,2
.Arizona,7179943,4
.Arkansas,3014195,5
.California,39501653,6
.Colorado,5784865,8
.Connecticut,3597362,9
.Delaware,992114,10
.District of Columbia,670868,11
.Florida,21589602,12
.Georgia,10729828,13
.Hawaii,1451043,15
.Idaho,1849202,16
.Illinois,12786580,17
.Indiana,6788799,18
.Iowa,3190571,19
.Kansas,2937919,20
.Kentucky,4507445,21
.Louisiana,4651664,22
.Maine,1363557,23
.Maryland,6173205,24
.Massachusetts,6995729,25
.Michigan,10069577,26
.Minnesota,5709852,27
.Mississippi,2958141,28
.Missouri,6153998,29
.Montana,1087075,30
.Nebraska,1962642,31
.Nevada,3115648,32
.New Hampshire,1378587,33
.New Jersey,9271689,34
.New Mexico,2118390,35
.New York,20108296,36
.North Carolina,10449445,37
.North Dakota,779518,38
.Ohio,11797517,39
.Oklahoma,3964912,40
.Oregon,4244795,41
.Pennsylvania,12994440,42
.Rhode Island,1096345,44
.South Carolina,5131848,45
.South Dakota,887799,46
.Tennessee,6925619,47
.Texas,29232474,48
.Utah,3283785,49
.Vermont,642893,50
.Virginia,8636471,51
.Washington,7724031,53
.West Virginia,1791420,54
.Wisconsin,5896271,55
.Wyoming,577605,56
.Puerto Rico,3281557,72
